Model,Epoch,Train Loss,Train Acc,Val Loss,Val Acc,Date/Time,Video Name,Comment
BPNN_v2,1,1.0281535387039185,0.4552895128726959,1.0069431066513062,0.4516063332557678,2023-04-06 12:50:32,animal_3_learning_day_11,without frame subtraction
BPNN_v2,2,1.0048573017120361,0.4625591039657593,0.9833955764770508,0.5002033114433289,2023-04-06 12:50:32,animal_3_learning_day_11,without frame subtraction
BPNN_v2,3,0.9495671391487122,0.5084133744239807,0.8987186551094055,0.5819438695907593,2023-04-06 12:50:32,animal_3_learning_day_11,without frame subtraction
BPNN_v2,4,0.8629658818244934,0.5820242762565613,0.7648959755897522,0.6490443348884583,2023-04-06 12:50:32,animal_3_learning_day_11,without frame subtraction
BPNN_v2,5,0.8132040500640869,0.6203039884567261,0.8262662291526794,0.5734038352966309,2023-04-06 12:50:32,animal_3_learning_day_11,without frame subtraction
BPNN_v2,6,0.7562723159790039,0.6505007147789001,0.6942209601402283,0.7108580470085144,2023-04-06 12:50:32,animal_3_learning_day_11,without frame subtraction
BPNN_v2,7,0.7128631472587585,0.6820192337036133,0.6786285042762756,0.6945912837982178,2023-04-06 12:50:32,animal_3_learning_day_11,without frame subtraction
BPNN_v2,8,0.6677175760269165,0.7061156034469604,0.6503269076347351,0.7179747819900513,2023-04-06 12:50:32,animal_3_learning_day_11,without frame subtraction
BPNN_v2,9,0.6407551765441895,0.7216206789016724,0.6057096123695374,0.7405449151992798,2023-04-06 12:50:32,animal_3_learning_day_11,without frame subtraction
BPNN_v2,10,0.6164363026618958,0.7361090183258057,0.5642342567443848,0.75701504945755,2023-04-06 12:50:32,animal_3_learning_day_11,without frame subtraction
,,,,,,,,
BPNN_v2,1,1.032106876373291,0.4542727768421173,1.0086047649383545,0.4516063332557678,2023-04-06 13:19:29,animal_3_learning_day_11,without frame subtraction
BPNN_v2,2,1.0017502307891846,0.4626099467277527,0.9833808541297913,0.4516063332557678,2023-04-06 13:19:29,animal_3_learning_day_11,without frame subtraction
BPNN_v2,3,0.9651652574539185,0.48726552724838257,0.921654999256134,0.5081334114074707,2023-04-06 13:19:29,animal_3_learning_day_11,without frame subtraction
BPNN_v2,4,0.9045132994651794,0.5475065112113953,0.8674674034118652,0.5990239977836609,2023-04-06 13:19:29,animal_3_learning_day_11,without frame subtraction
BPNN_v2,5,0.8399442434310913,0.5974785089492798,0.7725623250007629,0.6531110405921936,2023-04-06 13:19:29,animal_3_learning_day_11,without frame subtraction
BPNN_v2,6,0.7799012064933777,0.6404860019683838,0.7392981648445129,0.6659210920333862,2023-04-06 13:19:29,animal_3_learning_day_11,without frame subtraction
BPNN_v2,7,0.732281506061554,0.6683951020240784,0.6937925815582275,0.6992679834365845,2023-04-06 13:19:29,animal_3_learning_day_11,without frame subtraction
BPNN_v2,8,0.6885605454444885,0.6958975195884705,0.6797386407852173,0.6815778613090515,2023-04-06 13:19:29,animal_3_learning_day_11,without frame subtraction
BPNN_v2,9,0.6515526175498962,0.711351752281189,0.6838151216506958,0.6897112727165222,2023-04-06 13:19:29,animal_3_learning_day_11,without frame subtraction
BPNN_v2,10,0.6120308041572571,0.7325504422187805,0.6973640322685242,0.6927613019943237,2023-04-06 13:19:29,animal_3_learning_day_11,without frame subtraction
,,,,,,,,
BPNN_v2,1,1.0780036449432373,0.45864471793174744,1.0153383016586304,0.4516063332557678,2023-04-06 15:03:23,animal_3_learning_day_11,without frame subtraction
BPNN_v2,2,1.0098344087600708,0.4576279819011688,0.9988892078399658,0.4516063332557678,2023-04-06 15:03:23,animal_3_learning_day_11,without frame subtraction
BPNN_v2,3,0.9886497259140015,0.4687611162662506,0.9721276760101318,0.521146833896637,2023-04-06 15:03:23,animal_3_learning_day_11,without frame subtraction
BPNN_v2,4,0.9475967288017273,0.5016013383865356,0.91939777135849,0.4928832948207855,2023-04-06 15:03:23,animal_3_learning_day_11,without frame subtraction
BPNN_v2,5,0.8871490955352783,0.560520589351654,0.8282656073570251,0.6583977341651917,2023-04-06 15:03:23,animal_3_learning_day_11,without frame subtraction
BPNN_v2,6,0.8228285312652588,0.6130344271659851,0.7330889105796814,0.6836112141609192,2023-04-06 15:03:23,animal_3_learning_day_11,without frame subtraction
BPNN_v2,7,0.7637109160423279,0.6502974033355713,0.7112964391708374,0.6878812313079834,2023-04-06 15:03:23,animal_3_learning_day_11,without frame subtraction
BPNN_v2,8,0.729072093963623,0.6738345623016357,0.707309901714325,0.7108580470085144,2023-04-06 15:03:23,animal_3_learning_day_11,without frame subtraction
BPNN_v2,9,0.6861690878868103,0.6974734663963318,0.6306310296058655,0.73139488697052,2023-04-06 15:03:23,animal_3_learning_day_11,without frame subtraction
BPNN_v2,10,0.646120011806488,0.7151644825935364,0.6362835168838501,0.7222447991371155,2023-04-06 15:03:23,animal_3_learning_day_11,without frame subtraction
BPNN_v2,11,0.6186789274215698,0.7321946024894714,0.6031631231307983,0.7324115633964539,2023-04-06 15:03:23,animal_3_learning_day_11,without frame subtraction
BPNN_v2,12,0.5694343447685242,0.7559351325035095,0.6265833973884583,0.7210248112678528,2023-04-06 15:03:23,animal_3_learning_day_11,without frame subtraction
BPNN_v2,13,0.5331419110298157,0.7698642611503601,0.5959094762802124,0.7309882044792175,2023-04-06 15:03:23,animal_3_learning_day_11,without frame subtraction
BPNN_v2,14,0.4946782886981964,0.7931472659111023,0.6157064437866211,0.7334282398223877,2023-04-06 15:03:23,animal_3_learning_day_11,without frame subtraction
BPNN_v2,15,0.4666840434074402,0.8036704063415527,0.648931086063385,0.7250915169715881,2023-04-06 15:03:23,animal_3_learning_day_11,without frame subtraction
BPNN_v2,16,0.44938257336616516,0.811194121837616,0.5932302474975586,0.7370882630348206,2023-04-06 15:03:23,animal_3_learning_day_11,without frame subtraction
BPNN_v2,17,0.4087359309196472,0.8295460343360901,0.6928344964981079,0.7120780944824219,2023-04-06 15:03:23,animal_3_learning_day_11,without frame subtraction
BPNN_v2,18,0.3862740993499756,0.8394591212272644,0.6281713247299194,0.7173647880554199,2023-04-06 15:03:23,animal_3_learning_day_11,without frame subtraction
BPNN_v2,19,0.35756567120552063,0.8528290390968323,0.6182412505149841,0.7389182448387146,2023-04-06 15:03:23,animal_3_learning_day_11,without frame subtraction
BPNN_v2,20,0.32779747247695923,0.866300642490387,0.6982686519622803,0.721838116645813,2023-04-06 15:03:23,animal_3_learning_day_11,without frame subtraction
